industry_code,description,level,private_sector_flag,naics_supersector_code,naics_supersector_name,naics_sector_code,naics_sector_name
00000000,Total nonfarm,0,1,,,,
05000000,Total private,1,1,,,,
06000000,Goods-producing,4,1,,,,
07000000,Service providing,4,1,,,,
08000000,Private service-providing,4,1,,,,
10000000,Mining and logging,2,1,10,Natural resources and mining,"1133, 21",Natural resources and mining
20000000,Construction,2,1,20,Construction,23,Construction
30000000,Manufacturing,2,1,30,Manufacturing,"31, 32, 33",Manufacturing
31000000,Durable goods,3,1,,,,
32000000,Nondurable goods,3,1,,,,
40000000,"Trade, transportation, and utilities",2,1,40,"Trade, transportation, and utilities","42, 44, 45, 48, 49, 22","Trade, transportation, and utilities"
50000000,Information,2,1,50,Information,51,Information
55000000,Financial activities,2,1,55,Financial activities,"52, 53",Financial activities
60000000,Professional and business services,2,1,60,Professional and business services,"54, 55, 56",Professional and business services
65000000,Education and health services,2,1,65,Education and health services,"61, 62",Education and health services
70000000,Leisure and hospitality,2,1,70,Leisure and hospitality,"71, 72",Leisure and hospitality
80000000,Other services,2,1,80,Other services,81,Other services
90000000,Government,2,0,90,Government,"91, 92, 93",Government
10113300,Logging,5,1,10,Natural resources and mining,1133,Logging
10210000,Mining,5,1,10,Natural resources and mining,21,Mining
41420000,Wholesale trade,5,1,40,"Trade, transportation, and utilities",42,Wholesale trade
42000000,Retail trade,5,1,40,"Trade, transportation, and utilities","44, 45",Retail trade
43000000,Transportation and warehousing,5,1,40,"Trade, transportation, and utilities","48, 49",Transportation and warehousing
44220000,Utilities,5,1,40,"Trade, transportation, and utilities",22,Utilities
55520000,Finance and insurance,5,1,55,Financial activities,52,Finance and insurance
55530000,Real estate and rental and leasing,5,1,55,Financial activities,53,Real estate and rental and leasing
60540000,Professional and technical services,5,1,60,Professional and business services,54,"Professional, scientific, and technical services"
60550000,Management of companies and enterprises,5,1,60,Professional and business services,55,Management of companies and enterprises
60560000,Administrative and waste services,5,1,60,Professional and business services,56,Administrative and support and waste management and remediation services
65610000,Educational services,5,1,65,Education and health services,61,Educational services
65620000,Health care and social assistance,5,1,65,Education and health services,62,Health care and social assistance
70710000,"Arts, entertainment, and recreation",5,1,70,Leisure and hospitality,71,"Arts, entertainment, and recreation"
70720000,Accommodation and food services,5,1,70,Leisure and hospitality,72,Accommodation and food services
90910000,Federal,5,0,90,Government,91,Federal government
90920000,State government,5,0,90,Government,92,State government
90930000,Local government,5,0,90,Government,93,Local government

